CVE_MUN,GM,IM,k-means++
01001,Muy bajo,60.3187950417198,0
01002,Muy bajo,56.546071016613,2
01003,Muy bajo,57.0582509369582,0
01004,Muy bajo,57.1140301001378,0
01005,Muy bajo,59.0117616967172,0
01006,Muy bajo,58.6247678266779,0
01007,Muy bajo,57.6466713495514,0
01008,Muy bajo,57.5275305589345,0
01009,Muy bajo,56.6043143837497,0
01010,Muy bajo,56.5557942161932,0
01011,Muy bajo,58.5520978333435,0
02001,Muy bajo,58.082237567032,0
02002,Muy bajo,59.3849890945595,0
02003,Muy bajo,58.3900774399861,0
02004,Muy bajo,59.1402868170204,0
02005,Muy bajo,58.291417465293,0
02006,Medio,53.3990400136774,2
03001,Muy bajo,58.2638228268869,0
03002,Muy bajo,57.4925673102967,0
03003,Muy bajo,59.8532531027085,0
03008,Muy bajo,58.7357270060101,0
03009,Muy bajo,58.8193122984084,0
04001,Bajo,55.3812819245503,0
04002,Muy bajo,58.6407010357592,0
04003,Muy bajo,58.0950832846142,0
04004,Bajo,54.8325989080778,2
04005,Bajo,55.6860046589221,0
04006,Medio,53.6026514197597,2
04007,Medio,52.7603020275498,2
04008,Bajo,55.1820078528213,2
04009,Bajo,54.8902956416295,2
04010,Alto,50.7093716101968,4
04011,Alto,50.5139363387235,2
04012,Bajo,55.8783319762054,0
05001,Muy bajo,57.8201477198815,0
05002,Muy bajo,58.4817122918216,0
05003,Muy bajo,59.7938289954527,0
05004,Muy bajo,58.0449869593202,0
05005,Bajo,55.9194917338476,2
05006,Muy bajo,59.3106239603317,0
05007,Muy bajo,57.220514347307,0
05008,Bajo,56.4434939150664,2
05009,Muy bajo,57.8246734818765,0
05010,Muy bajo,60.0842709636714,0
05011,Muy bajo,57.1210015864091,0
05012,Bajo,55.6679087962824,2
05013,Bajo,56.0716090813527,2
05014,Bajo,55.4032123875801,2
05015,Muy bajo,56.6770026083266,2
05016,Muy bajo,57.3261855621437,0
05017,Muy bajo,58.1804004142075,0
05018,Muy bajo,60.4768300568519,0
05019,Muy bajo,59.4673507022789,0
05020,Muy bajo,58.9049613636146,0
05021,Muy bajo,57.7527937612693,0
05022,Muy bajo,58.9554821241229,0
05023,Bajo,55.1278959758259,2
05024,Muy bajo,57.9477297945311,0
05025,Muy bajo,59.2727558881289,0
05026,Bajo,56.4638302346,2
05027,Muy bajo,60.1650088427359,0
05028,Muy bajo,59.7511520314129,0
05029,Muy bajo,57.4433073588306,0
05030,Muy bajo,60.7375040578758,0
05031,Muy bajo,59.9613705887526,0
05032,Muy bajo,59.7579886590898,0
05033,Muy bajo,57.059406535828,0
05034,Muy bajo,57.9045374458784,0
05035,Muy bajo,60.2884207175746,0
05036,Bajo,54.8588292288359,2
05037,Muy bajo,58.337700821595,0
05038,Muy bajo,57.7682332789898,0
06001,Bajo,56.4059237449604,0
06002,Muy bajo,59.7711755354347,0
06003,Muy bajo,57.1625072020632,0
06004,Muy bajo,57.1251916292823,0
06005,Muy bajo,58.1700784403634,0
06006,Bajo,55.0289760226252,2
06007,Muy bajo,59.7547410038696,0
06008,Muy bajo,57.3805329920052,0
06009,Muy bajo,57.1954216340676,0
06010,Muy bajo,60.5120922228991,0
07001,Medio,53.2907904738896,2
07002,Medio,53.3009496928406,2
07003,Alto,52.1499492969481,2
07004,Alto,49.7840661417914,1
07005,Alto,48.7593250790908,1
07006,Alto,52.2296012272431,2
07007,Muy alto,45.981946197677,4
07008,Alto,51.5472580763044,1
07009,Medio,54.5793351882981,2
07010,Alto,49.7756697893572,4
07011,Alto,51.5097790448289,2
07012,Medio,53.2988113851827,2
07013,Alto,52.0224667435321,1
07014,Alto,50.0944470305582,1
07015,Medio,54.5750731851716,2
07016,Alto,52.1298806862818,2
07017,Medio,53.7799251744326,2
07018,Alto,52.2651458294411,1
07019,Bajo,54.9683255947039,2
07020,Alto,50.345273777775,1
07021,Medio,53.1786471264422,2
07022,Muy alto,37.8069459586062,3
07023,Muy alto,46.3278465780139,1
07024,Muy alto,46.4378836071254,4
07025,Alto,51.5044924730301,1
07026,Muy alto,45.4293080626882,1
07027,Bajo,55.0370926693881,2
07028,Alto,51.6651883576316,1
07029,Medio,53.411133839476,2
07030,Alto,50.6852195036764,1
07031,Muy alto,45.2557776016108,1
07032,Alto,52.5820017564812,2
07033,Alto,49.9740571910312,1
07034,Medio,53.310646120513,2
07035,Alto,52.3329033180957,2
07036,Alto,52.0599373900267,2
07037,Alto,52.5506286011626,2
07038,Muy alto,48.5315608456366,1
07039,Alto,48.9210111099177,1
07040,Medio,54.488482551691,2
07041,Alto,52.2893584036738,1
07042,Medio,52.9477110108393,2
07043,Medio,53.4659644235862,2
07044,Alto,51.6527299008629,1
07045,Alto,51.0570492659982,1
07046,Medio,53.4321289661094,2
07047,Alto,52.5191148773229,1
07048,Medio,53.716152579478,2
07049,Alto,50.5089646729303,1
07050,Medio,52.6928205936953,2
07051,Medio,53.0837629810148,2
07052,Alto,49.1299085992887,1
07053,Alto,52.5462404399952,2
07054,Alto,52.3810255780799,2
07055,Medio,53.7172061335794,2
07056,Muy alto,45.5708330998031,1
07057,Medio,53.0043935129513,2
07058,Alto,51.4857630626166,1
07059,Muy alto,47.0642589778532,1
07060,Alto,48.7983796549241,1
07061,Medio,52.7896289931032,2
07062,Alto,51.6489356841444,2
07063,Medio,54.564009802543,2
07064,Muy alto,40.8340559064578,4
07065,Medio,52.6741669326229,2
07066,Muy alto,45.4935597483737,1
07067,Alto,49.7245203468974,1
07068,Medio,53.8688979626885,2
07069,Alto,52.2159881034543,2
07070,Medio,52.9851964072576,2
07071,Alto,52.1712242149923,2
07072,Alto,50.3948368506767,1
07073,Alto,51.4744684222445,1
07074,Bajo,56.2836431212427,0
07075,Alto,50.0594556971995,1
07076,Alto,48.9361378462015,1
07077,Muy alto,48.0926829231702,1
07078,Bajo,55.8329040362097,0
07079,Medio,53.246705867343,2
07080,Alto,50.8504760253906,1
07081,Muy alto,48.6987056909843,1
07082,Muy alto,35.9017299159572,3
07083,Alto,51.8389002231647,1
07084,Alto,52.3585588020491,1
07085,Alto,52.4575014394617,2
07086,Medio,54.1829143338017,2
07087,Alto,51.2573346789155,1
07088,Alto,51.7437643596455,2
07089,Bajo,55.5116640419866,0
07090,Alto,51.8493451247474,1
07091,Bajo,54.6305559373357,2
07092,Alto,50.649014322504,1
07093,Alto,49.8303546585047,1
07094,Alto,50.0047965654837,1
07096,Muy alto,48.3404725600387,1
07097,Bajo,55.0724437277739,2
07098,Alto,49.5923052604024,1
07099,Alto,51.782928377283,2
07100,Muy alto,47.4784672250844,1
07101,Muy bajo,58.3458969364367,0
07102,Alto,52.2950494073419,4
07103,Alto,52.5582458193254,2
07104,Medio,52.9232601681887,2
07105,Medio,53.8027392757174,2
07106,Alto,50.853665914174,1
07107,Alto,51.1558305458545,1
07108,Medio,53.7093421570287,2
07109,Alto,49.1812077809565,1
07110,Alto,50.3962000959717,1
07111,Muy alto,46.9222208672218,1
07112,Muy alto,44.1093576214964,1
07113,Alto,49.4393330730197,1
07114,Alto,51.4193366673905,1
07115,Muy alto,48.6718646044325,1
07116,Alto,49.0872296767312,4
07117,Alto,50.9137510583727,1
07118,Alto,49.319821722491,1
07119,Muy alto,47.997792091263,1
07120,Alto,50.038163850557,1
07121,Alto,49.8625241675954,1
07122,Medio,53.5005063060139,2
07123,Medio,53.2020823971516,2
07124,Alto,51.2981525524098,1
07125,Alto,50.0151909816176,1
08001,Muy bajo,57.8792460709196,0
08002,Muy bajo,59.6189434907829,0
08003,Muy bajo,57.199977652043,0
08004,Muy bajo,59.7382969251766,0
08005,Muy bajo,57.103885926836,0
08006,Bajo,56.4884627618087,2
08007,Muy alto,37.0071329897794,3
08008,Muy alto,21.4066346942113,3
08009,Alto,51.0463984941947,2
08010,Muy bajo,57.6734348889874,0
08011,Muy bajo,59.1702578267324,0
08012,Muy alto,36.2118547830645,3
08013,Muy bajo,57.3475230143538,0
08014,Bajo,56.5218322717029,2
08015,Bajo,55.9134308710109,2
08016,Muy bajo,57.2047721222766,0
08017,Muy bajo,59.7550793825456,0
08018,Bajo,55.5399045676485,2
08019,Muy bajo,61.1241347126691,0
08020,Muy alto,46.9759049848856,3
08021,Muy bajo,59.8239321190413,0
08022,Bajo,55.1876973474337,2
08023,Bajo,56.0690248832298,2
08024,Muy bajo,57.73560443975,0
08025,Muy bajo,57.0518593120914,2
08026,Bajo,56.1824495534136,2
08027,Muy alto,40.5223159301178,3
08028,Bajo,56.2443673197374,2
08029,Muy alto,39.3476294612872,3
08030,Muy alto,45.9632185719232,3
08031,Bajo,55.9626734119232,2
08032,Muy bajo,59.787543846929,0
08033,Bajo,56.1289051917859,2
08034,Muy bajo,56.6376640852616,2
08035,Bajo,55.7900940274089,2
08036,Muy bajo,58.8406142114328,0
08037,Muy bajo,59.0676837282585,0
08038,Muy bajo,57.1009447936851,2
08039,Muy bajo,56.6285335688641,2
08040,Muy bajo,57.308730023454,0
08041,Muy alto,43.8861029969325,3
08042,Bajo,54.9020494158249,2
08043,Bajo,56.3693172154256,2
08044,Bajo,56.5311710069503,2
08045,Muy bajo,58.5300430129362,0
08046,Muy alto,39.5596311496211,3
08047,Medio,52.8473147515901,2
08048,Muy bajo,57.3583167051025,0
08049,Alto,49.1095128896613,2
08050,Muy bajo,59.7135984544129,0
08051,Medio,53.6372905228771,2
08052,Muy bajo,58.592368680844,0
08053,Bajo,56.1029084642484,2
08054,Muy bajo,57.3957015514393,2
08055,Muy bajo,57.7002206334115,0
08056,Bajo,55.0714721618796,2
08057,Medio,53.8065434665338,2
08058,Muy bajo,57.522137155796,0
08059,Muy bajo,57.9758583067828,0
08060,Muy bajo,59.0695487231787,0
08061,Bajo,56.3293489861721,2
08062,Muy bajo,58.2701677860254,0
08063,Medio,53.9090226568948,2
08064,Bajo,55.0102836569811,2
08065,Muy alto,36.7851601354547,3
08066,Muy alto,41.6391520113259,3
08067,Bajo,56.0284819036415,2
09002,Muy bajo,60.637957252589,0
09003,Muy bajo,60.8769530595478,0
09004,Muy bajo,60.4421617230741,0
09005,Muy bajo,60.0921224607171,0
09006,Muy bajo,60.4422454901315,0
09007,Muy bajo,59.5445475030509,0
09008,Muy bajo,59.6833405260121,0
09009,Muy bajo,57.2813027602769,0
09010,Muy bajo,60.4870520786772,0
09011,Muy bajo,59.325104804355,0
09012,Muy bajo,59.5683005202987,0
09013,Muy bajo,58.5571719595363,0
09014,Muy bajo,62.3971454880912,0
09015,Muy bajo,61.3285335133283,0
09016,Muy bajo,61.2214578697982,0
09017,Muy bajo,60.3845963564287,0
10001,Muy bajo,56.6960494329267,0
10002,Alto,50.8021460659875,1
10003,Bajo,55.3986423304642,2
10004,Muy bajo,56.9816697852868,0
10005,Muy bajo,59.5910145755833,0
10006,Medio,54.341867581474,2
10007,Muy bajo,59.2730388873649,0
10008,Muy bajo,57.895155666715,0
10009,Medio,52.9964160469859,2
10010,Muy bajo,56.6751793788539,2
10011,Bajo,55.6061648400237,2
10012,Muy bajo,58.8038790671402,0
10013,Muy bajo,56.7490494471011,0
10014,Muy alto,28.2229952282718,3
10015,Bajo,55.8717551228194,2
10016,Muy bajo,56.885686159889,0
10017,Bajo,55.5609313837748,2
10018,Muy bajo,57.9369748090193,0
10019,Alto,50.5858068355353,2
10020,Muy bajo,57.3430224858356,0
10021,Muy bajo,56.7246617952508,0
10022,Muy bajo,57.3596245514937,0
10023,Alto,51.5504064424081,2
10024,Muy bajo,56.9146939292816,0
10025,Bajo,55.0338068365764,2
10026,Bajo,54.9460377012624,0
10027,Alto,52.2075436392665,2
10028,Muy bajo,56.5545756981802,2
10029,Bajo,55.8256287374821,2
10030,Bajo,55.7312859224862,2
10031,Bajo,55.7855929243672,2
10032,Bajo,56.4002460342517,0
10033,Medio,53.5585706988264,2
10034,Muy alto,47.0905774506537,3
10035,Medio,54.1944274563485,2
10036,Muy bajo,57.0767291965583,0
10037,Alto,51.8223254394095,2
10038,Muy bajo,58.469883553421,0
10039,Muy bajo,57.3614835396817,0
11001,Bajo,55.5402606919792,2
11002,Muy bajo,56.9612217570423,0
11003,Bajo,56.201217751103,0
11004,Muy bajo,56.7235853688555,0
11005,Muy bajo,57.409175625332,0
11006,Alto,49.6157618202359,4
11007,Muy bajo,58.8389938098381,0
11008,Bajo,55.7576546289023,2
11009,Medio,54.1045646023985,2
11010,Bajo,55.4795869955235,2
11011,Muy bajo,57.5912510275716,0
11012,Bajo,56.2000969935609,2
11013,Bajo,55.5459682282103,2
11014,Bajo,55.0125571352096,2
11015,Muy bajo,58.5616972804428,0
11016,Bajo,56.1618594066586,2
11017,Muy bajo,58.7609194025885,0
11018,Muy bajo,56.9345416463024,0
11019,Medio,53.9809899283802,2
11020,Muy bajo,59.0793372109962,0
11021,Muy bajo,58.3975353685313,0
11022,Bajo,54.7694574195741,2
11023,Bajo,55.2419593139735,2
11024,Bajo,55.7310473337048,2
11025,Muy bajo,57.4725524094044,0
11026,Bajo,56.0025333976943,2
11027,Muy bajo,58.3158092065983,0
11028,Muy bajo,56.6436237406066,0
11029,Medio,53.4163093212806,2
11030,Medio,53.9971522493502,2
11031,Muy bajo,57.6617426611668,0
11032,Muy bajo,57.2411850613912,0
11033,Bajo,55.0984879479621,0
11034,Medio,53.463378937803,2
11035,Bajo,56.1745084950172,0
11036,Bajo,55.6898140782752,2
11037,Muy bajo,56.9524941709445,0
11038,Muy bajo,56.6384969619746,2
11039,Bajo,56.1138010965813,2
11040,Alto,52.5499917148746,2
11041,Muy bajo,57.7259982373562,0
11042,Bajo,56.2909819677847,2
11043,Medio,53.004785386498,2
11044,Muy bajo,57.7476757905276,0
11045,Alto,51.4984381356938,2
11046,Bajo,55.54535694064,2
12001,Bajo,56.4365962739593,0
12002,Muy alto,45.2767029499794,1
12003,Muy alto,48.200120627665,1
12004,Muy alto,44.2220999658423,1
12005,Medio,52.8246988915791,2
12006,Alto,52.2489378040438,2
12007,Medio,53.7957024788327,2
12008,Alto,49.298446956923,4
12009,Muy alto,42.5238805337985,3
12010,Muy alto,44.3202127135831,1
12011,Medio,53.5449486798105,2
12012,Muy alto,45.9408493832503,3
12013,Alto,49.8393979076159,4
12014,Bajo,55.3964710554366,2
12015,Bajo,55.9209097976551,2
12016,Muy alto,43.0943701858677,3
12017,Medio,52.7122284399439,2
12018,Alto,52.0269598671923,2
12019,Muy alto,40.4725102368328,4
12020,Muy alto,42.2605597061693,3
12021,Alto,52.2596397043313,2
12022,Alto,49.1333331474592,1
12023,Alto,51.7467112006845,2
12024,Alto,50.1261389887712,1
12025,Muy alto,47.3225577892906,4
12026,Muy alto,45.8130475564146,4
12027,Alto,50.5348241107247,1
12028,Muy alto,47.4357642894414,1
12029,Bajo,56.4592257608969,0
12030,Alto,51.5955507312618,2
12031,Muy alto,48.0118326224054,1
12032,Muy alto,45.6698752615873,1
12033,Medio,53.6505222551009,2
12034,Alto,51.2365191744536,4
12035,Bajo,55.7895844043228,0
12036,Muy alto,48.7133160121417,1
12037,Alto,52.1177767047208,2
12038,Muy bajo,56.748029274377,0
12039,Medio,53.5118846330154,2
12040,Alto,51.1519552152027,1
12041,Muy alto,45.3324507124554,3
12042,Muy alto,48.5815374007268,1
12043,Muy alto,42.351004192881,3
12044,Medio,53.0826918075022,2
12045,Muy alto,43.860879970178,4
12046,Alto,50.4400899870696,2
12047,Muy alto,42.996757331168,3
12048,Medio,54.4120445052535,2
12049,Medio,54.2025780406098,2
12050,Bajo,55.5566947257302,0
12051,Alto,49.32904025856,1
12052,Muy alto,43.0320666710239,3
12053,Alto,49.7522681067576,2
12054,Muy alto,43.5195868494238,3
12055,Medio,54.4861630706619,2
12056,Alto,48.73583770698,1
12057,Medio,53.3607669708077,2
12058,Alto,51.8347732008869,2
12059,Alto,50.4575567817469,1
12060,Alto,51.6791406842709,2
12061,Alto,52.095926363026,4
12062,Muy alto,42.9498142939214,3
12063,Muy alto,43.2358146617746,3
12064,Alto,52.4707007156309,2
12065,Muy alto,48.2294089607467,4
12066,Alto,51.9549092132451,1
12067,Alto,52.5353641127522,2
12068,Alto,52.0026121875048,2
12069,Muy alto,42.7092379669983,4
12070,Alto,51.7109989395778,1
12071,Muy alto,44.9632422882057,1
12072,Muy alto,45.4486528432519,1
12073,Alto,49.271698445831,1
12074,Muy alto,47.115809033987,4
12075,Medio,53.0690125736696,2
12076,Muy alto,42.3290468222848,3
12077,Alto,52.3105065634206,2
12078,Muy alto,32.2054405826744,3
12079,Muy alto,40.1205824124184,3
12080,Muy alto,48.4807047866643,4
12081,Muy alto,46.8394099050317,1
13001,Medio,53.8667099373994,2
13002,Alto,50.6464687985813,1
13003,Muy bajo,57.3824185084775,0
13004,Medio,53.4299811637465,2
13005,Muy bajo,57.0553962398985,0
13006,Medio,54.2353758181073,2
13007,Bajo,56.2583067597882,0
13008,Muy bajo,57.7474115064364,0
13009,Bajo,55.6060620630837,2
13010,Muy bajo,59.1898792480148,0
13011,Medio,52.7269551593486,2
13012,Bajo,54.7205438694626,2
13013,Muy bajo,59.0628086224216,0
13014,Medio,52.8849880758851,2
13015,Bajo,54.743631621877,2
13016,Bajo,54.9794018094685,2
13017,Medio,53.4654740381378,2
13018,Medio,53.1936148046156,2
13019,Bajo,54.8618890064786,2
13020,Medio,54.4948652303664,2
13021,Muy bajo,58.1525533355708,0
13022,Bajo,56.3274528646033,2
13023,Muy bajo,57.8573744796732,0
13024,Bajo,54.6416434661284,2
13025,Alto,50.7155578441141,4
13026,Alto,52.3888573389123,2
13027,Alto,48.8437651288761,4
13028,Medio,53.658295429392,2
13029,Bajo,56.0543571778057,2
13030,Bajo,56.5373323275692,0
13031,Medio,53.9656350750003,2
13032,Medio,53.3225471763921,2
13033,Medio,54.5171478419509,2
13034,Alto,52.3812068237934,2
13035,Bajo,54.9242779150512,2
13036,Bajo,55.2252338641373,2
13037,Medio,52.9106964158457,2
13038,Medio,53.8717747931378,2
13039,Muy bajo,57.2927515539903,0
13040,Alto,50.0579309274686,4
13041,Muy bajo,57.9806274191608,0
13042,Bajo,54.6963513866792,2
13043,Medio,53.6354238240691,2
13044,Medio,54.1033824954232,2
13045,Bajo,55.3892166322047,2
13046,Medio,52.8044712447808,2
13047,Alto,50.1399144054841,4
13048,Muy bajo,59.9239208918057,0
13049,Alto,52.6225794054406,2
13050,Muy bajo,58.4050711710475,0
13051,Muy bajo,59.8923618649699,0
13052,Muy bajo,56.7557695444204,0
13053,Muy alto,48.6917271382493,1
13054,Bajo,56.4194329487375,2
13055,Bajo,55.4493166716119,2
13056,Muy bajo,57.5532000541543,0
13057,Bajo,54.7241840438598,2
13058,Bajo,54.8078096481028,2
13059,Medio,54.5508107864517,2
13060,Medio,53.263527658287,2
13061,Muy bajo,59.1760171326859,0
13062,Alto,48.8791422979532,4
13063,Muy bajo,57.3885068059967,0
13064,Bajo,55.7767683218919,2
13065,Muy bajo,58.1302303404046,0
13066,Muy bajo,57.7164410401393,0
13067,Muy bajo,57.0545075052865,0
13068,Alto,50.1799333412537,1
13069,Muy bajo,59.4173310959409,0
13070,Muy bajo,57.5885857984551,0
13071,Alto,51.2630569211976,2
13072,Muy bajo,58.7598955640261,0
13073,Medio,52.873803942599,2
13074,Muy bajo,58.3417799660763,0
13075,Muy bajo,57.993431264,0
13076,Muy bajo,58.4276960546106,0
13077,Muy bajo,58.0695656770432,0
13078,Muy alto,48.693750132664,1
13079,Bajo,54.7350140076077,2
13080,Alto,48.8626706488855,4
13081,Bajo,56.5403864793947,0
13082,Muy bajo,57.8572152914156,0
13083,Muy bajo,58.5100221301433,0
13084,Bajo,55.9023554986788,0
14001,Muy bajo,56.8976906563699,0
14002,Muy bajo,58.7390304017307,0
14003,Muy bajo,59.1647776340978,0
14004,Bajo,56.3817464491134,2
14005,Muy bajo,58.2852514149864,0
14006,Muy bajo,58.3850413147151,0
14007,Muy bajo,57.9549402790243,0
14008,Muy bajo,57.9494689342465,0
14009,Muy bajo,58.793772716188,0
14010,Bajo,56.186967637558,0
14011,Bajo,54.6486400613693,2
14012,Muy bajo,57.5300838859949,0
14013,Muy bajo,58.192501513986,0
14014,Bajo,56.2831263917451,2
14015,Muy bajo,58.6789279598896,0
14016,Bajo,56.5231794872051,2
14017,Muy bajo,57.3527331443888,0
14018,Muy bajo,57.6883100108335,0
14019,Muy alto,41.1824696936993,3
14020,Bajo,54.9283691215401,2
14021,Muy bajo,57.5324544784367,0
14022,Muy bajo,57.2619110540223,0
14023,Muy bajo,59.9441552048355,0
14024,Muy bajo,57.8695963384277,0
14025,Muy bajo,58.3835945582496,0
14026,Muy bajo,58.0194070999676,0
14027,Alto,49.6395203501102,1
14028,Bajo,55.9206484653493,2
14029,Bajo,55.895252008151,2
14030,Muy bajo,59.0080061263008,0
14031,Alto,49.6121121567291,2
14032,Bajo,55.1020742789416,2
14033,Muy bajo,56.9801420466151,0
14034,Muy bajo,56.6053400806101,2
14035,Muy bajo,57.3853356938327,0
14036,Muy bajo,58.7912743363854,0
14037,Muy bajo,58.650684268875,0
14038,Bajo,55.7832171221202,2
14039,Muy bajo,60.7642604388961,0
14040,Bajo,55.1287492832085,2
14041,Bajo,56.41309984568,2
14042,Medio,54.5872290457939,2
14043,Muy bajo,56.7307347344086,0
14044,Muy bajo,58.1843604514573,0
14045,Bajo,56.4021063349792,2
14046,Muy bajo,58.2101957226458,0
14047,Muy bajo,57.690577793034,0
14048,Bajo,56.1135908102014,2
14049,Medio,53.7635807841454,2
14050,Muy bajo,57.5185138592717,0
14051,Muy bajo,59.408009890115,0
14052,Bajo,56.2586268931912,2
14053,Muy bajo,57.7071595290716,0
14054,Muy bajo,57.1860330566606,0
14055,Muy bajo,58.2058392980785,0
14056,Alto,50.6407720750318,2
14057,Muy bajo,57.3915315528247,0
14058,Muy bajo,58.2255869608959,0
14059,Muy bajo,57.8239662753763,0
14060,Bajo,56.0956584960145,2
14061,Muy alto,31.3056684364792,3
14062,Bajo,56.3081326261795,2
14063,Muy bajo,58.7587782029387,0
14064,Bajo,55.984986616106,0
14065,Bajo,56.3239905529311,0
14066,Bajo,56.4942336993815,0
14067,Muy bajo,59.7578031009193,0
14068,Bajo,56.0086274912701,0
14069,Medio,54.2105750843677,2
